indicator;base;bipolar;polycentric;polycentric1;polycentric1a;polycentric1b;polycentric1c;scattered
avg # of correspondences;1.5;1.8;1.8;1.7;1.7;1.7;1.7;1.9
distance (km as the crow flies);4.7;8.0;9.4;9.4;9.5;9.4;9.8;7.7
expenses (birr);9.0;10.9;10.8;10.8;10.8;10.8;10.8;11.6
time (min);42.0;62.0;61.0;61.0;61.0;61.0;62.0;66.0
total generated trips;480510.0;1255995.0;1255995.0;1255995.0;1255995.0;1255995.0;1267015.0;1255995.0
